id,member_id,member_name,member_level,faction,points,joins,clears
1,1337627,Afwas,100,R*1,797732,394,818
2,1815556,Nesa,100,R*1,855571,672,531
3,1553363,Blistig,92,~WP~,845084,644,213
4,900534,Dekloren,100,R*1,1126340,686,1275
5,1967332,MBX,90,R*1,795925,877,305
6,784338,Crystalz,96,R*1,667244,331,225
7,38031,Pascal,100,R*1,755637,348,448
8,1510489,TheHoneyBadger,93,R*1,256793,77,37
9,1955477,Rowdy_Rebel357,86,R*1,710910,1072,612
10,1541749,Pandora,100,NLMG,701266,230,253
11,1602605,Joxer,100,R*1,487868,224,216
12,1626270,mortisult,98,R*1,511682,426,321
13,1264011,Kraft,90,~WP~,616817,590,284
14,1025410,Pops,99,R*1,823411,1320,193
15,204836,Slork,100,~SA~,645231,214,164
16,1127528,Fanatic,100,R*1,578868,208,160
17,50716,Honey-Badger,94,R*1,517374,268,159
18,1625417,Yurnero,91,R*1,631797,350,238
19,1843716,Whittlinman,92,R*1,364637,97,50
20,748022,Kookaburra,100,R*1,943604,280,759
21,295516,Navahoes,100,R*1,383466,179,131
22,1803901,Spaghetti360,89,R*1,231992,134,45
23,511272,Seth,100,R*1,717242,79,176
24,1109901,ZaumonL,95,R*1,942257,473,526
25,1832759,CrookedPaper,93,R*1,389765,259,133
26,1888994,Momo,96,R*1,843963,616,267
27,1935090,SlaineTroyard,82,R*1,172877,102,69
28,2050558,Hildegarde,100,R*1,745505,248,1176
29,329437,Teddybears,94,C.R,374993,307,180
30,1514485,Stan,88,R*1,206249,59,24
31,1798354,KaguroX,95,R*1,615379,175,109
32,1503918,PhaNToM,95,R*1,497583,326,259
33,705319,Scar,94,R*1,396799,293,103
34,1974874,PapaEmeritus,87,R*1,491231,441,73
35,812478,MightyGoober,100,R*1,686199,266,216
36,1811936,madbuns,100,R*1,538964,264,335
37,302973,lonewolf,100,R*1,799001,170,865
38,1716970,loveu2,94,~WP~,831781,1831,365
39,1629756,Lord_Gorgen,100,R*1,839052,370,571
